      Evento;       Fecha;        Hora;     Latitud;    Longitud;  Prof. (Km);      Inten.;        Mag.;   Tipo Mag.;Localización
      803792;  27/10/2007;    02:55:24;     43.1124;     -2.2485;         0.0;            ;         1.0;           4;SW BEIZAMA.SS
      803794;  27/10/2007;    02:57:58;     43.0643;     -2.1793;         0.0;            ;         1.0;           4;N ORDIZIA.SS
      803815;  27/10/2007;    03:17:41;     43.0247;     -2.1961;        10.0;            ;         1.0;           4;SE OLABERRIA.SS
      803829;  27/10/2007;    03:18:23;     43.0593;     -2.1848;        10.3;            ;         1.4;           4;NW ORDIZIA.SS
      803800;  27/10/2007;    03:27:43;     43.0406;     -2.1979;         5.5;            ;         1.4;           4;S BEASAIN.SS
      803810;  27/10/2007;    03:33:21;     43.0277;     -2.1964;        10.6;            ;         2.3;           4;E OLABERRIA.SS
      803817;  27/10/2007;    03:39:58;     43.0506;     -2.1990;        10.8;            ;         1.5;           4;W BEASAIN.SS
      803823;  27/10/2007;    03:43:05;     43.0835;     -2.2101;         3.9;            ;         1.8;           4;NW BEASAIN.SS
      809921;  25/11/2007;    07:12:52;     43.2370;     -1.8672;        22.0;            ;         1.8;           4;S OIARTZUN.SS
      810989;  01/12/2007;    17:10:25;     43.0057;     -1.7268;         0.0;            ;         0.7;           4;NW LARRAINTZAR.NA
      815444;  06/01/2008;    22:30:29;     43.0812;     -1.7476;         4.3;            ;         1.1;           4;SW BEINTZA-LABAIEN.NA
      819838;  31/01/2008;    05:25:14;     43.1018;     -1.8379;         0.0;            ;         1.0;           4;NW EZKURRA.NA
      910778;  01/05/2008;    16:10:07;     43.1678;     -2.0091;         0.0;            ;         1.2;           4;NE BERROBI.SS
      839966;  07/05/2008;    01:56:46;     43.2462;     -1.7243;        19.7;            ;         1.9;           4;W LESAKA.NA
      846294;  31/05/2008;    15:50:46;     43.2083;     -1.8544;         0.0;            ;         0.8;           4;E ARANO.NA
      861822;  11/08/2008;    00:06:59;     42.9428;     -1.8075;         0.0;            ;         0.7;           4;NE IRURTZUN.NA
      869737;  22/09/2008;    01:55:14;     43.0479;     -1.9109;         0.0;            ;         1.1;           4;S LEITZA.NA
      881328;  29/10/2008;    17:49:49;     43.1176;     -1.7831;         0.0;            ;         1.1;           4;N SALDÍAS.NA
      886513;  23/11/2008;    19:08:01;     43.1054;     -1.7385;         0.0;            ;         1.1;           4;N BEINTZA-LABAIEN.NA
      887447;  30/11/2008;    17:51:49;     43.1127;     -1.7385;         0.0;            ;         0.9;           4;S ZUBIETA.NA
      890850;  25/12/2008;    07:42:47;     43.1522;     -2.2135;        21.2;            ;         1.2;           4;NW BEIZAMA.SS
      890973;  28/12/2008;    12:46:12;     43.0993;     -2.0410;         7.1;            ;         1.6;           4;SW LIZARTZA.SS
      905757;  04/04/2009;    16:28:02;     43.1194;     -1.7309;         0.0;            ;         1.3;           4;SE ZUBIETA.NA
      907476;  15/04/2009;    00:49:23;     43.2393;     -1.7359;        11.3;            ;         1.5;           4;W LESAKA.NA
      909443;  25/04/2009;    12:37:46;     43.2638;     -1.7374;        16.4;            ;         1.5;           4;NW LESAKA.NA
      911957;  12/05/2009;    00:18:34;     43.1866;     -1.8779;         0.0;            ;         1.1;           4;SE ARANO.NA
      912214;  12/05/2009;    20:28:37;     43.2192;     -1.9021;         0.0;            ;         1.4;           4;NW ARANO.NA
      912215;  12/05/2009;    21:07:16;     43.2160;     -1.8888;        11.8;            ;         1.8;           4;NE ARANO.NA
      915185;  28/05/2009;    00:59:18;     43.1104;     -1.7271;         0.0;            ;         1.0;           4;SE ZUBIETA.NA
      918551;  11/06/2009;    22:30:11;     43.1075;     -2.0238;         0.0;            ;         1.3;           4;NE LIZARTZA.SS
      918889;  12/06/2009;    15:45:38;     43.3912;     -2.5546;         0.0;            ;         1.4;           4;NE EA.BI
      918966;  12/06/2009;    22:35:03;     43.2532;     -1.9227;         0.0;            ;         0.9;           4;SE ASTIGARRAGA.SS
      918967;  13/06/2009;    00:25:38;     43.2742;     -1.9612;         0.0;            ;         1.4;           4;NE HERNANI.SS
